class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,159.51,162.67,169.15,166.28,33.06,147.83,179.00,174.45,109.82,108.94
1,65.09,66.85,170.83,174.24,143.36,38.31,175.87,176.03,96.01,102.67
2,90.08,95.90,95.32,92.09,166.80,165.05,107.33,105.22,124.89,129.12
3,33.82,31.48,52.24,56.29,145.01,87.61,28.84,179.08,118.59,171.31
