class,step,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
1,0,97.52449588742465,108.79792577474728,177.64549019095062,175.60630033796747,81.81883631497706,87.05983736075035,184.0753387102236,170.6057944394782,100.8741781451653,93.98386951303692
1,1,25.161577245376634,139.7977596291952,163.85823686112752,169.25157533802084,82.7195948612524,85.56323797783355,179.60945621237335,175.88176389907258,112.7380557325705,118.90997282940498
1,2,32.304922762604235,137.39680924649608,173.4398407522806,180.02092327737108,101.07218965208034,68.57387994825139,184.92648385682173,170.14449963614453,113.36836034902203,123.55707451638435
1,3,157.0200081057085,36.48838464625888,175.74176325529754,141.40571774907085,81.64350199889722,86.97949935229408,186.77653180119674,176.1312278200681,96.15041284850898,104.47651649852922
1,4,144.25534565537146,27.614675178920578,169.99229272429915,175.76631570871518,71.25109639333317,100.95091805477492,183.2261279074976,176.1786347620236,115.53086735252366,114.77685799505969
3,0,32.05641756703797,34.41773936997177,158.9067318118437,144.70022229430714,82.11856405205583,83.96549542191346,186.12686430042305,174.39045444995367,86.28718744739653,93.50931241653907
3,1,86.954997232685,81.77990169063888,172.86970999175105,171.43704020655525,99.10301511181824,99.93414489318954,186.34788080801042,174.46869353990417,92.85005820209591,93.27053885058871
3,2,78.27029290675117,88.93394588808238,63.99250591909842,175.3870399359854,93.789157100664,96.89261681145999,181.16345282401994,172.55167271107803,90.61028669690691,115.50243612665948
3,3,85.93620546134173,66.30189733548791,179.09471623669776,67.25252767734372,101.6339532277776,91.8960536728897,178.0581444717306,176.7203572350461,107.29569647950191,96.61841770853533
4,0,85.04501942741774,80.01970476577418,157.47640587457784,133.8255385433596,110.00148402453547,107.91953981274135,89.92088127625902,84.4777981716702,159.08293162328982,157.32720513531902
4,1,74.46960518975325,77.32749734210074,149.26062829205205,141.77815159664456,116.1520781318026,106.85169771080535,89.4705410360161,93.80623516383228,146.78176532169846,159.7257908904678
4,2,82.563354761514,72.22015960259034,160.12855025824805,139.46164842380588,110.0407562351395,109.23484501743008,99.17329935133982,85.4100200415837,155.1153176373041,159.69927368314163
4,3,73.3543926520783,72.26039621015899,168.77961331349798,137.90709835835193,115.2529045098011,108.9386654717523,95.07058140184242,89.24076185878829,147.8753126761141,156.60866046523165
5,0,35.58938173224963,32.522530190334656,145.19926370239773,131.8841545971507,89.7107731409314,95.67462223684554,180.85426822750117,177.39280169592593,142.45702353336486,145.0566115960865
5,1,42.5229267807873,37.76357062192528,91.28792289145213,99.71457653187895,106.69283983891256,101.09716498178683,12.716696615211788,15.473065685786537,87.82427486218887,110.11914917006857
5,2,98.14695737740217,104.67912593222353,173.29292600095482,179.17876607099618,77.01797404618054,110.51423915547883,21.244468036156405,15.501556606035393,109.37283800188553,91.15375879088296
5,3,135.4607333959968,135.41502834989546,179.60687851792693,169.30272900666444,80.48547327625255,105.95564701116824,20.80326306857043,9.648894651873178,115.01820777601952,126.11003088621052
8,0,44.69022616193224,40.15613844686902,186.62608716360285,137.82624445977265,83.07999714631055,100.64143400095254,184.68509378912637,176.12107339057832,158.892503284923,159.2186081411269
8,1,52.509331012659004,46.869709242379486,95.06679038296915,88.00782541733777,103.05824115027326,112.61607647344684,12.534758972501924,15.710968721416814,57.25982742155624,97.14218254694146
